number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boost_from_average,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_iterations,params_num_leaves,params_objective,state
44,0.01607491985476659,2023-12-31 22:19:25.109789,2023-12-31 22:20:22.464249,0 days 00:00:57.354460,0.5826435124028675,True,rf,0.8286609090531236,3.430571269442224,6.049790413761331e-08,0.022932974870997217,6,55,271,87,regression,COMPLETE
45,0.0161774242688168,2023-12-31 22:20:22.465381,2023-12-31 22:26:57.928889,0 days 00:06:35.463508,0.5158958934536991,True,rf,0.8758273781038518,0.31563116000712566,2.9219418905115473e-07,0.03846624819245628,7,19,458,52,regression,COMPLETE
46,0.016279849518423054,2023-12-31 22:26:57.929887,2023-12-31 22:28:16.411878,0 days 00:01:18.481991,0.4454526596350558,True,gbdt,0.9981050500568469,3.072463480497187e-06,5.9491541864358994e-06,0.06079421552631228,5,93,128,137,regression,COMPLETE
47,0.01607264025061446,2023-12-31 22:28:16.412865,2023-12-31 22:29:09.865256,0 days 00:00:53.452391,0.7446224939711248,True,rf,0.7955209104616386,5.000958138272397,1.0495448759641942e-08,0.07537250903964685,6,71,199,104,regression,COMPLETE
48,0.016130361006898207,2023-12-31 22:29:09.866215,2023-12-31 22:31:43.900700,0 days 00:02:34.034485,0.7528787260888481,False,rf,0.6911297074345849,0.0002116851169194595,0.00012574092022583054,0.09120418725569285,5,77,219,141,mape,COMPLETE
49,0.016146858630676005,2023-12-31 22:31:43.902090,2023-12-31 22:32:53.211810,0 days 00:01:09.309720,0.9253914680159322,True,rf,0.8922768201693475,1.154274230746191,2.279868148883052e-07,0.11633017104880158,6,69,128,101,regression,COMPLETE
50,0.016203548183941877,2023-12-31 22:32:53.212786,2023-12-31 22:36:39.167900,0 days 00:03:45.955114,0.5499154625302766,True,rf,0.7247614543369668,0.1269401412492045,4.494975235592565e-05,0.03026169591619036,5,5,324,120,regression,COMPLETE
51,0.01607264025061446,2023-12-31 22:36:39.169030,2023-12-31 22:37:15.340867,0 days 00:00:36.171837,0.4281346778549934,True,rf,0.9725525917222845,9.442949681556366,2.0803026291200177e-06,0.04435195999655131,5,88,101,148,regression,COMPLETE
52,0.016088393707848,2023-12-31 22:37:15.341797,2023-12-31 22:37:53.057891,0 days 00:00:37.716094,0.4215169267874499,True,rf,0.9757834204787403,2.151333406704147,3.7442865349806367e-06,0.0456286746449298,5,89,114,149,regression,COMPLETE
53,0.01607328105581404,2023-12-31 22:37:53.058832,2023-12-31 22:38:52.177827,0 days 00:00:59.118995,0.6463712635103532,True,rf,0.7959381895349823,3.9973363657436645,0.09030801933836087,0.07614960741532881,6,10,280,61,regression,COMPLETE
54,0.016153481335653648,2023-12-31 22:38:52.178775,2023-12-31 22:41:18.813877,0 days 00:02:26.635102,0.40069752920339907,True,rf,0.923137151389696,9.531995128086802,4.942726772598983e-07,0.04037643653050225,7,81,167,136,regression_l1,COMPLETE
55,0.016157334419220824,2023-12-31 22:41:18.814871,2023-12-31 22:42:41.666072,0 days 00:01:22.851201,0.4625756536164519,True,rf,0.7602340891619954,0.6044602401178285,3.108244940866811e-08,0.05071829852402995,6,57,182,128,regression,COMPLETE
56,0.016106049530317492,2023-12-31 22:42:41.667050,2023-12-31 22:43:40.882470,0 days 00:00:59.215420,0.6668016092404272,True,gbdt,0.8456754551779586,5.268336971044081,0.010547907491667018,0.05210987595126101,8,21,236,166,regression,COMPLETE
57,0.01607264025061446,2023-12-31 22:43:40.883629,2023-12-31 22:44:23.700794,0 days 00:00:42.817165,0.4970023975667285,True,rf,0.9497511369150706,9.831144644047546,9.923215437460008e-08,0.05991259307610238,6,97,132,184,regression,COMPLETE
58,0.016112738363021104,2023-12-31 22:44:23.701767,2023-12-31 22:45:06.607402,0 days 00:00:42.905635,0.5009276610990594,True,rf,0.9482960955538117,1.6406536972955383,6.551213949590376e-08,0.06629228972450696,6,96,136,188,regression,COMPLETE
59,0.016171074341269114,2023-12-31 22:45:06.608365,2023-12-31 22:47:45.781237,0 days 00:02:39.172872,0.48559028156082595,False,rf,0.9048744669993711,0.221130351340727,1.0012167934490263e-08,0.05834831442617293,6,16,157,208,regression,COMPLETE
60,0.016151387234827397,2023-12-31 22:47:45.782675,2023-12-31 22:50:09.877613,0 days 00:02:24.094938,0.45576396905136163,True,rf,0.8779632694288817,0.6843403607812717,1.1190307637181477e-06,0.005148943964837775,5,80,408,89,regression,COMPLETE
61,0.01607264025061446,2023-12-31 22:50:09.878626,2023-12-31 22:51:00.000758,0 days 00:00:50.122132,0.5366929813963937,True,rf,0.9859161214214205,7.9734754559022,2.348686258594514,0.029500691055936237,7,29,174,156,regression,COMPLETE
62,0.01607264025061446,2023-12-31 22:51:00.001716,2023-12-31 22:51:57.776060,0 days 00:00:57.774344,0.5311846803965454,True,rf,0.980150605108869,5.031602176654024,9.529490908157062,0.029027132793318595,7,35,233,152,regression,COMPLETE
